dataset_id,n_trees,max_features,percent_data,time,score
9,1,0.1,0.1,0.04,0.499
9,1,0.1,0.2,0.06,0.504
9,1,0.1,0.3,0.1,0.524
9,1,0.1,0.4,0.13,0.52
9,1,0.1,0.5,0.17,0.53
9,1,0.1,0.6,0.21,0.543
9,1,0.1,0.7,0.25,0.56
9,1,0.1,0.8,0.29,0.563
9,1,0.1,0.9,0.33,0.588
9,1,0.1,1.0,0.38,0.56
9,3,0.1,0.1,0.08,0.496
9,3,0.1,0.2,0.16,0.487
9,3,0.1,0.3,0.25,0.515
9,3,0.1,0.4,0.35,0.526
9,3,0.1,0.5,0.47,0.56
9,3,0.1,0.6,0.55,0.571
9,3,0.1,0.7,0.67,0.583
9,3,0.1,0.8,0.77,0.565
9,3,0.1,0.9,0.88,0.592
9,3,0.1,1.0,1.0,0.625
9,5,0.1,0.1,0.12,0.493
9,5,0.1,0.2,0.26,0.519
9,5,0.1,0.3,0.42,0.53
9,5,0.1,0.4,0.56,0.527
9,5,0.1,0.5,0.77,0.554
9,5,0.1,0.6,0.95,0.584
9,5,0.1,0.7,1.13,0.597
9,5,0.1,0.8,1.32,0.595
9,5,0.1,0.9,1.49,0.631
9,5,0.1,1.0,1.7,0.612
9,7,0.1,0.1,0.18,0.49
9,7,0.1,0.2,0.35,0.504
9,7,0.1,0.3,0.57,0.538
9,7,0.1,0.4,0.82,0.548
9,7,0.1,0.5,1.09,0.552
9,7,0.1,0.6,1.28,0.58
9,7,0.1,0.7,1.57,0.609
9,7,0.1,0.8,1.85,0.626
9,7,0.1,0.9,2.0,0.643
9,7,0.1,1.0,2.35,0.629
9,9,0.1,0.1,0.21,0.509
9,9,0.1,0.2,0.45,0.521
9,9,0.1,0.3,0.69,0.54
9,9,0.1,0.4,0.97,0.54
9,9,0.1,0.5,1.3,0.568
9,9,0.1,0.6,1.58,0.597
9,9,0.1,0.7,1.86,0.618
9,9,0.1,0.8,2.17,0.618
9,9,0.1,0.9,2.53,0.625
9,9,0.1,1.0,2.89,0.664
9,11,0.1,0.1,0.26,0.491
9,11,0.1,0.2,0.56,0.528
9,11,0.1,0.3,0.88,0.526
9,11,0.1,0.4,1.23,0.559
9,11,0.1,0.5,1.56,0.587
9,11,0.1,0.6,2.12,0.59
9,11,0.1,0.7,2.45,0.613
9,11,0.1,0.8,2.78,0.642
9,11,0.1,0.9,3.27,0.657
9,11,0.1,1.0,3.66,0.688
9,13,0.1,0.1,0.3,0.507
9,13,0.1,0.2,0.67,0.52
9,13,0.1,0.3,1.04,0.524
9,13,0.1,0.4,1.44,0.565
9,13,0.1,0.5,1.84,0.574
9,13,0.1,0.6,2.31,0.604
9,13,0.1,0.7,2.73,0.618
9,13,0.1,0.8,3.21,0.647
9,13,0.1,0.9,3.63,0.665
9,13,0.1,1.0,4.07,0.675
9,15,0.1,0.1,0.35,0.476
9,15,0.1,0.2,0.76,0.532
9,15,0.1,0.3,1.23,0.54
9,15,0.1,0.4,1.68,0.565
9,15,0.1,0.5,2.15,0.614
9,15,0.1,0.6,2.7,0.603
9,15,0.1,0.7,3.44,0.615
9,15,0.1,0.8,3.78,0.658
9,15,0.1,0.9,4.15,0.647
9,15,0.1,1.0,4.78,0.662
9,1,0.2,0.1,0.05,0.475
9,1,0.2,0.2,0.1,0.486
9,1,0.2,0.3,0.16,0.516
9,1,0.2,0.4,0.22,0.515
9,1,0.2,0.5,0.28,0.546
9,1,0.2,0.6,0.38,0.57
9,1,0.2,0.7,0.49,0.543
9,1,0.2,0.8,0.49,0.599
9,1,0.2,0.9,0.54,0.604
9,1,0.2,1.0,0.65,0.619
9,3,0.2,0.1,0.12,0.499
9,3,0.2,0.2,0.28,0.523
9,3,0.2,0.3,0.44,0.521
9,3,0.2,0.4,0.61,0.546
9,3,0.2,0.5,0.77,0.555
9,3,0.2,0.6,0.98,0.603
9,3,0.2,0.7,1.22,0.607
9,3,0.2,0.8,1.41,0.605
9,3,0.2,0.9,1.65,0.631
9,3,0.2,1.0,1.86,0.658
9,5,0.2,0.1,0.19,0.504
9,5,0.2,0.2,0.46,0.501
9,5,0.2,0.3,0.72,0.515
9,5,0.2,0.4,1.03,0.555
9,5,0.2,0.5,1.39,0.592
9,5,0.2,0.6,1.72,0.601
9,5,0.2,0.7,2.0,0.61
9,5,0.2,0.8,2.29,0.672
9,5,0.2,0.9,2.63,0.669
9,5,0.2,1.0,3.05,0.692
9,7,0.2,0.1,0.27,0.492
9,7,0.2,0.2,0.61,0.522
9,7,0.2,0.3,0.99,0.524
9,7,0.2,0.4,1.47,0.551
9,7,0.2,0.5,1.92,0.592
9,7,0.2,0.6,2.44,0.629
9,7,0.2,0.7,2.81,0.627
9,7,0.2,0.8,3.22,0.679
9,7,0.2,0.9,3.7,0.703
9,7,0.2,1.0,4.23,0.705
9,9,0.2,0.1,0.37,0.473
9,9,0.2,0.2,0.83,0.496
9,9,0.2,0.3,1.38,0.538
9,9,0.2,0.4,1.94,0.562
9,9,0.2,0.5,2.56,0.597
9,9,0.2,0.6,3.06,0.629
9,9,0.2,0.7,3.64,0.64
9,9,0.2,0.8,4.13,0.676
9,9,0.2,0.9,4.77,0.719
9,9,0.2,1.0,5.44,0.73
9,11,0.2,0.1,0.41,0.495
9,11,0.2,0.2,0.98,0.525
9,11,0.2,0.3,1.66,0.54
9,11,0.2,0.4,2.23,0.598
9,11,0.2,0.5,2.99,0.607
9,11,0.2,0.6,3.68,0.638
9,11,0.2,0.7,4.35,0.68
9,11,0.2,0.8,5.08,0.695
9,11,0.2,0.9,5.83,0.699
9,11,0.2,1.0,6.71,0.719
9,13,0.2,0.1,0.51,0.484
9,13,0.2,0.2,1.18,0.53
9,13,0.2,0.3,1.88,0.526
9,13,0.2,0.4,2.63,0.578
9,13,0.2,0.5,3.39,0.621
9,13,0.2,0.6,4.31,0.639
9,13,0.2,0.7,5.08,0.68
9,13,0.2,0.8,5.91,0.702
9,13,0.2,0.9,6.98,0.71
9,13,0.2,1.0,7.86,0.716
9,15,0.2,0.1,0.58,0.502
9,15,0.2,0.2,1.29,0.527
9,15,0.2,0.3,2.28,0.543
9,15,0.2,0.4,3.11,0.58
9,15,0.2,0.5,4.06,0.629
9,15,0.2,0.6,5.08,0.651
9,15,0.2,0.7,5.94,0.697
9,15,0.2,0.8,6.88,0.694
9,15,0.2,0.9,7.87,0.718
9,15,0.2,1.0,9.08,0.734
9,1,0.3,0.1,0.06,0.511
9,1,0.3,0.2,0.14,0.498
9,1,0.3,0.3,0.23,0.502
9,1,0.3,0.4,0.32,0.54
9,1,0.3,0.5,0.42,0.538
9,1,0.3,0.6,0.52,0.542
9,1,0.3,0.7,0.59,0.588
