dataset_id,n_trees,max_features,percent_data,time,score
20,1,0.1,0.1,0.01,0.352
20,1,0.1,0.2,0.02,0.434
20,1,0.1,0.3,0.02,0.538
20,1,0.1,0.4,0.03,0.543
20,1,0.1,0.5,0.03,0.544
20,1,0.1,0.6,0.03,0.581
20,1,0.1,0.7,0.03,0.606
20,1,0.1,0.8,0.03,0.596
20,1,0.1,0.9,0.03,0.579
20,1,0.1,1.0,0.05,0.641
20,3,0.1,0.1,0.02,0.426
20,3,0.1,0.2,0.03,0.511
20,3,0.1,0.3,0.04,0.567
20,3,0.1,0.4,0.05,0.594
20,3,0.1,0.5,0.05,0.636
20,3,0.1,0.6,0.06,0.628
20,3,0.1,0.7,0.07,0.65
20,3,0.1,0.8,0.07,0.658
20,3,0.1,0.9,0.08,0.689
20,3,0.1,1.0,0.09,0.687
20,5,0.1,0.1,0.04,0.469
20,5,0.1,0.2,0.05,0.6
20,5,0.1,0.3,0.06,0.692
20,5,0.1,0.4,0.07,0.702
20,5,0.1,0.5,0.08,0.732
20,5,0.1,0.6,0.09,0.744
20,5,0.1,0.7,0.1,0.752
20,5,0.1,0.8,0.11,0.764
20,5,0.1,0.9,0.12,0.757
20,5,0.1,1.0,0.13,0.779
20,7,0.1,0.1,0.05,0.536
20,7,0.1,0.2,0.07,0.614
20,7,0.1,0.3,0.07,0.73
20,7,0.1,0.4,0.09,0.762
20,7,0.1,0.5,0.1,0.767
20,7,0.1,0.6,0.12,0.774
20,7,0.1,0.7,0.14,0.785
20,7,0.1,0.8,0.15,0.803
20,7,0.1,0.9,0.16,0.797
20,7,0.1,1.0,0.19,0.822
20,9,0.1,0.1,0.06,0.519
20,9,0.1,0.2,0.08,0.666
20,9,0.1,0.3,0.1,0.732
20,9,0.1,0.4,0.12,0.779
20,9,0.1,0.5,0.13,0.787
20,9,0.1,0.6,0.16,0.803
20,9,0.1,0.7,0.17,0.806
20,9,0.1,0.8,0.19,0.815
20,9,0.1,0.9,0.22,0.809
20,9,0.1,1.0,0.24,0.843
20,11,0.1,0.1,0.07,0.55
20,11,0.1,0.2,0.1,0.688
20,11,0.1,0.3,0.11,0.774
20,11,0.1,0.4,0.14,0.787
20,11,0.1,0.5,0.16,0.825
20,11,0.1,0.6,0.18,0.802
20,11,0.1,0.7,0.2,0.844
20,11,0.1,0.8,0.22,0.848
20,11,0.1,0.9,0.25,0.846
20,11,0.1,1.0,0.28,0.856
20,13,0.1,0.1,0.08,0.559
20,13,0.1,0.2,0.11,0.694
20,13,0.1,0.3,0.13,0.781
20,13,0.1,0.4,0.17,0.803
20,13,0.1,0.5,0.18,0.836
20,13,0.1,0.6,0.21,0.826
20,13,0.1,0.7,0.24,0.836
20,13,0.1,0.8,0.26,0.856
20,13,0.1,0.9,0.29,0.85
20,13,0.1,1.0,0.32,0.874
20,15,0.1,0.1,0.09,0.557
20,15,0.1,0.2,0.12,0.727
20,15,0.1,0.3,0.15,0.819
20,15,0.1,0.4,0.18,0.802
20,15,0.1,0.5,0.22,0.811
20,15,0.1,0.6,0.24,0.835
20,15,0.1,0.7,0.27,0.859
20,15,0.1,0.8,0.3,0.849
20,15,0.1,0.9,0.33,0.866
20,15,0.1,1.0,0.37,0.881
20,1,0.2,0.1,0.02,0.361
20,1,0.2,0.2,0.02,0.498
20,1,0.2,0.3,0.03,0.522
20,1,0.2,0.4,0.03,0.551
20,1,0.2,0.5,0.03,0.587
20,1,0.2,0.6,0.03,0.588
20,1,0.2,0.7,0.04,0.599
20,1,0.2,0.8,0.04,0.634
20,1,0.2,0.9,0.05,0.615
20,1,0.2,1.0,0.06,0.659
20,3,0.2,0.1,0.03,0.44
20,3,0.2,0.2,0.04,0.545
20,3,0.2,0.3,0.05,0.597
20,3,0.2,0.4,0.06,0.644
20,3,0.2,0.5,0.07,0.651
20,3,0.2,0.6,0.09,0.679
20,3,0.2,0.7,0.1,0.676
20,3,0.2,0.8,0.11,0.698
20,3,0.2,0.9,0.12,0.692
20,3,0.2,1.0,0.14,0.721
20,5,0.2,0.1,0.04,0.478
20,5,0.2,0.2,0.06,0.62
20,5,0.2,0.3,0.08,0.711
20,5,0.2,0.4,0.1,0.712
20,5,0.2,0.5,0.12,0.749
20,5,0.2,0.6,0.14,0.754
20,5,0.2,0.7,0.15,0.761
20,5,0.2,0.8,0.17,0.75
20,5,0.2,0.9,0.2,0.782
20,5,0.2,1.0,0.22,0.8
20,7,0.2,0.1,0.05,0.52
20,7,0.2,0.2,0.09,0.64
20,7,0.2,0.3,0.11,0.734
20,7,0.2,0.4,0.13,0.745
20,7,0.2,0.5,0.16,0.768
20,7,0.2,0.6,0.18,0.777
20,7,0.2,0.7,0.21,0.795
20,7,0.2,0.8,0.24,0.813
20,7,0.2,0.9,0.26,0.827
20,7,0.2,1.0,0.29,0.828
20,9,0.2,0.1,0.07,0.538
20,9,0.2,0.2,0.1,0.661
20,9,0.2,0.3,0.13,0.743
20,9,0.2,0.4,0.17,0.781
20,9,0.2,0.5,0.2,0.802
20,9,0.2,0.6,0.23,0.8
20,9,0.2,0.7,0.28,0.837
