dataset_id,n_trees,max_features,percent_data,time,score
19,1,0.1,0.1,0.04,0.991
19,1,0.1,0.2,0.06,0.995
19,1,0.1,0.3,0.1,0.995
19,1,0.1,0.4,0.11,0.997
19,1,0.1,0.5,0.14,0.996
19,1,0.1,0.6,0.16,0.996
19,1,0.1,0.7,0.18,0.997
19,1,0.1,0.8,0.22,0.997
19,1,0.1,0.9,0.25,0.998
19,1,0.1,1.0,0.27,0.998
19,3,0.1,0.1,0.08,0.996
19,3,0.1,0.2,0.12,0.997
19,3,0.1,0.3,0.16,0.998
19,3,0.1,0.4,0.21,0.999
19,3,0.1,0.5,0.27,0.998
19,3,0.1,0.6,0.3,0.999
19,3,0.1,0.7,0.37,0.999
19,3,0.1,0.8,0.4,0.999
19,3,0.1,0.9,0.45,0.999
19,3,0.1,1.0,0.5,0.999
19,5,0.1,0.1,0.11,0.996
19,5,0.1,0.2,0.18,0.997
19,5,0.1,0.3,0.24,0.999
19,5,0.1,0.4,0.34,0.999
19,5,0.1,0.5,0.42,0.999
19,5,0.1,0.6,0.47,0.999
19,5,0.1,0.7,0.51,0.999
19,5,0.1,0.8,0.6,0.999
19,5,0.1,0.9,0.68,0.999
19,5,0.1,1.0,0.72,0.999
19,7,0.1,0.1,0.15,0.997
19,7,0.1,0.2,0.23,0.998
19,7,0.1,0.3,0.34,0.999
19,7,0.1,0.4,0.38,0.999
19,7,0.1,0.5,0.48,0.999
19,7,0.1,0.6,0.58,0.999
19,7,0.1,0.7,0.66,0.999
19,7,0.1,0.8,0.76,0.999
19,7,0.1,0.9,0.88,1.0
19,7,0.1,1.0,0.96,0.999
19,9,0.1,0.1,0.18,0.997
19,9,0.1,0.2,0.28,0.998
19,9,0.1,0.3,0.4,0.999
19,9,0.1,0.4,0.5,0.999
19,9,0.1,0.5,0.62,0.999
19,9,0.1,0.6,0.73,0.999
19,9,0.1,0.7,0.82,0.999
19,9,0.1,0.8,0.92,1.0
19,9,0.1,0.9,1.09,0.999
19,9,0.1,1.0,1.22,0.999
19,11,0.1,0.1,0.21,0.997
19,11,0.1,0.2,0.33,0.998
19,11,0.1,0.3,0.47,0.999
19,11,0.1,0.4,0.58,0.999
19,11,0.1,0.5,0.73,0.999
19,11,0.1,0.6,0.89,0.999
19,11,0.1,0.7,0.98,0.999
19,11,0.1,0.8,1.12,0.999
19,11,0.1,0.9,1.33,1.0
19,11,0.1,1.0,1.43,0.999
19,13,0.1,0.1,0.23,0.997
19,13,0.1,0.2,0.37,0.998
19,13,0.1,0.3,0.54,0.999
19,13,0.1,0.4,0.69,0.999
19,13,0.1,0.5,0.9,0.999
19,13,0.1,0.6,1.01,0.999
19,13,0.1,0.7,1.19,0.999
19,13,0.1,0.8,1.32,0.999
19,13,0.1,0.9,1.53,0.999
19,13,0.1,1.0,1.68,0.999
19,15,0.1,0.1,0.27,0.998
19,15,0.1,0.2,0.45,0.998
19,15,0.1,0.3,0.62,0.999
19,15,0.1,0.4,0.77,0.999
19,15,0.1,0.5,1.01,0.999
19,15,0.1,0.6,1.17,0.999
19,15,0.1,0.7,1.27,0.999
19,15,0.1,0.8,1.49,0.999
19,15,0.1,0.9,1.7,0.999
19,15,0.1,1.0,1.92,0.999
19,1,0.2,0.1,0.04,0.987
19,1,0.2,0.2,0.07,0.993
19,1,0.2,0.3,0.09,0.994
19,1,0.2,0.4,0.12,0.996
19,1,0.2,0.5,0.13,0.997
19,1,0.2,0.6,0.16,0.997
19,1,0.2,0.7,0.19,0.997
19,1,0.2,0.8,0.21,0.998
19,1,0.2,0.9,0.25,0.998
19,1,0.2,1.0,0.25,0.998
19,3,0.2,0.1,0.07,0.995
19,3,0.2,0.2,0.13,0.997
19,3,0.2,0.3,0.18,0.998
19,3,0.2,0.4,0.21,0.999
19,3,0.2,0.5,0.24,0.999
19,3,0.2,0.6,0.3,0.999
19,3,0.2,0.7,0.35,0.999
19,3,0.2,0.8,0.39,0.999
19,3,0.2,0.9,0.44,0.999
19,3,0.2,1.0,0.48,0.999
19,5,0.2,0.1,0.11,0.997
19,5,0.2,0.2,0.18,0.997
19,5,0.2,0.3,0.24,0.999
19,5,0.2,0.4,0.31,0.999
19,5,0.2,0.5,0.38,0.999
19,5,0.2,0.6,0.45,0.999
19,5,0.2,0.7,0.5,0.999
19,5,0.2,0.8,0.58,0.999
19,5,0.2,0.9,0.68,0.999
19,5,0.2,1.0,0.73,0.999
19,7,0.2,0.1,0.14,0.997
19,7,0.2,0.2,0.22,0.998
19,7,0.2,0.3,0.3,0.999
19,7,0.2,0.4,0.38,0.999
19,7,0.2,0.5,0.51,0.999
19,7,0.2,0.6,0.59,0.999
19,7,0.2,0.7,0.68,0.999
19,7,0.2,0.8,0.76,0.999
19,7,0.2,0.9,0.88,0.999
19,7,0.2,1.0,0.99,0.999
19,9,0.2,0.1,0.18,0.997
19,9,0.2,0.2,0.28,0.998
19,9,0.2,0.3,0.42,0.999
19,9,0.2,0.4,0.48,0.999
19,9,0.2,0.5,0.63,0.999
19,9,0.2,0.6,0.71,0.999
19,9,0.2,0.7,0.85,0.999
19,9,0.2,0.8,0.98,0.999
19,9,0.2,0.9,1.12,0.999
19,9,0.2,1.0,1.2,0.999
19,11,0.2,0.1,0.2,0.997
19,11,0.2,0.2,0.33,0.998
19,11,0.2,0.3,0.46,0.999
19,11,0.2,0.4,0.59,0.999
19,11,0.2,0.5,0.72,0.999
19,11,0.2,0.6,0.86,0.999
19,11,0.2,0.7,0.98,0.999
19,11,0.2,0.8,1.11,0.999
19,11,0.2,0.9,1.32,0.999
19,11,0.2,1.0,1.46,0.999
19,13,0.2,0.1,0.24,0.997
19,13,0.2,0.2,0.37,0.998
19,13,0.2,0.3,0.55,0.999
19,13,0.2,0.4,0.68,0.999
19,13,0.2,0.5,0.83,0.999
19,13,0.2,0.6,1.01,0.999
19,13,0.2,0.7,1.15,0.999
19,13,0.2,0.8,1.32,1.0
19,13,0.2,0.9,1.45,0.999
19,13,0.2,1.0,1.67,1.0
19,15,0.2,0.1,0.26,0.997
19,15,0.2,0.2,0.44,0.998
19,15,0.2,0.3,0.61,0.999
19,15,0.2,0.4,0.76,0.999
19,15,0.2,0.5,0.97,0.999
19,15,0.2,0.6,1.13,0.999
19,15,0.2,0.7,1.31,0.999
19,15,0.2,0.8,1.46,1.0
19,15,0.2,0.9,1.7,1.0
19,15,0.2,1.0,1.88,0.999
19,1,0.3,0.1,0.04,0.995
19,1,0.3,0.2,0.07,0.997
19,1,0.3,0.3,0.1,0.997
19,1,0.3,0.4,0.13,0.998
19,1,0.3,0.5,0.15,0.999
19,1,0.3,0.6,0.18,0.999
19,1,0.3,0.7,0.2,0.999
19,1,0.3,0.8,0.23,0.999
19,1,0.3,0.9,0.26,0.999
19,1,0.3,1.0,0.31,0.999
19,3,0.3,0.1,0.09,0.997
19,3,0.3,0.2,0.14,0.998
19,3,0.3,0.3,0.19,0.999
19,3,0.3,0.4,0.25,0.999
19,3,0.3,0.5,0.3,0.999
19,3,0.3,0.6,0.34,0.999
19,3,0.3,0.7,0.43,0.999
19,3,0.3,0.8,0.48,0.999
19,3,0.3,0.9,0.55,0.999
19,3,0.3,1.0,0.57,0.999
19,5,0.3,0.1,0.12,0.998
19,5,0.3,0.2,0.19,0.998
19,5,0.3,0.3,0.28,0.999
19,5,0.3,0.4,0.37,0.999
19,5,0.3,0.5,0.48,0.999
19,5,0.3,0.6,0.56,0.999
19,5,0.3,0.7,0.63,0.999
19,5,0.3,0.8,0.69,1.0
19,5,0.3,0.9,0.84,0.999
19,5,0.3,1.0,0.88,1.0
19,7,0.3,0.1,0.15,0.998
19,7,0.3,0.2,0.26,0.998
19,7,0.3,0.3,0.37,0.999
19,7,0.3,0.4,0.48,0.999
19,7,0.3,0.5,0.6,0.999
19,7,0.3,0.6,0.72,0.999
19,7,0.3,0.7,0.82,0.999
19,7,0.3,0.8,0.94,1.0
19,7,0.3,0.9,1.07,1.0
19,7,0.3,1.0,1.22,1.0
19,9,0.3,0.1,0.19,0.998
19,9,0.3,0.2,0.33,0.999
19,9,0.3,0.3,0.46,0.999
19,9,0.3,0.4,0.6,0.999
19,9,0.3,0.5,0.74,0.999
19,9,0.3,0.6,0.91,0.999
19,9,0.3,0.7,1.02,1.0
19,9,0.3,0.8,1.17,1.0
19,9,0.3,0.9,1.38,1.0
19,9,0.3,1.0,1.46,1.0
19,11,0.3,0.1,0.23,0.998
19,11,0.3,0.2,0.39,0.998
19,11,0.3,0.3,0.54,0.999
19,11,0.3,0.4,0.7,0.999
19,11,0.3,0.5,0.89,0.999
19,11,0.3,0.6,1.01,0.999
19,11,0.3,0.7,1.24,1.0
19,11,0.3,0.8,1.4,1.0
19,11,0.3,0.9,1.66,1.0
19,11,0.3,1.0,1.81,1.0
19,13,0.3,0.1,0.27,0.998
19,13,0.3,0.2,0.43,0.998
19,13,0.3,0.3,0.64,0.999
19,13,0.3,0.4,0.81,0.999
19,13,0.3,0.5,1.06,0.999
19,13,0.3,0.6,1.28,0.999
19,13,0.3,0.7,1.44,1.0
19,13,0.3,0.8,1.62,1.0
19,13,0.3,0.9,1.91,1.0
19,13,0.3,1.0,2.1,1.0
19,15,0.3,0.1,0.29,0.997
19,15,0.3,0.2,0.51,0.999
19,15,0.3,0.3,0.72,0.999
19,15,0.3,0.4,0.95,0.999
19,15,0.3,0.5,1.18,0.999
19,15,0.3,0.6,1.4,0.999
19,15,0.3,0.7,1.63,1.0
19,15,0.3,0.8,1.85,1.0
19,15,0.3,0.9,2.22,1.0
19,15,0.3,1.0,2.41,1.0
19,1,0.4,0.1,0.04,0.996
19,1,0.4,0.2,0.08,0.998
19,1,0.4,0.3,0.1,0.998
19,1,0.4,0.4,0.14,0.999
19,1,0.4,0.5,0.17,0.999
19,1,0.4,0.6,0.19,0.999
19,1,0.4,0.7,0.22,0.999
19,1,0.4,0.8,0.26,0.999
19,1,0.4,0.9,0.29,0.999
19,1,0.4,1.0,0.34,0.999
19,3,0.4,0.1,0.09,0.998
19,3,0.4,0.2,0.15,0.998
19,3,0.4,0.3,0.22,0.999
19,3,0.4,0.4,0.29,0.999
19,3,0.4,0.5,0.36,0.999
19,3,0.4,0.6,0.41,0.999
19,3,0.4,0.7,0.5,0.999
19,3,0.4,0.8,0.59,0.999
19,3,0.4,0.9,0.62,0.999
19,3,0.4,1.0,0.75,1.0
19,5,0.4,0.1,0.13,0.998
19,5,0.4,0.2,0.23,0.999
19,5,0.4,0.3,0.32,0.999
19,5,0.4,0.4,0.42,0.999
19,5,0.4,0.5,0.53,0.999
19,5,0.4,0.6,0.63,0.999
19,5,0.4,0.7,0.72,1.0
19,5,0.4,0.8,0.85,1.0
