dataset_id,n_trees,max_features,percent_data,time,score
4,1,0.1,0.1,0.02,0.631
4,1,0.1,0.2,0.02,0.665
4,1,0.1,0.3,0.03,0.65
4,1,0.1,0.4,0.04,0.647
4,1,0.1,0.5,0.06,0.665
4,1,0.1,0.6,0.06,0.672
4,1,0.1,0.7,0.07,0.671
4,1,0.1,0.8,0.09,0.691
4,1,0.1,0.9,0.09,0.684
4,1,0.1,1.0,0.1,0.687
4,3,0.1,0.1,0.03,0.675
4,3,0.1,0.2,0.05,0.714
4,3,0.1,0.3,0.08,0.726
4,3,0.1,0.4,0.1,0.724
4,3,0.1,0.5,0.12,0.741
4,3,0.1,0.6,0.15,0.732
4,3,0.1,0.7,0.17,0.735
4,3,0.1,0.8,0.21,0.735
4,3,0.1,0.9,0.23,0.744
4,3,0.1,1.0,0.25,0.747
4,5,0.1,0.1,0.06,0.718
4,5,0.1,0.2,0.08,0.74
4,5,0.1,0.3,0.12,0.758
4,5,0.1,0.4,0.16,0.764
4,5,0.1,0.5,0.19,0.771
4,5,0.1,0.6,0.23,0.77
4,5,0.1,0.7,0.28,0.771
4,5,0.1,0.8,0.32,0.785
4,5,0.1,0.9,0.35,0.785
4,5,0.1,1.0,0.4,0.783
4,7,0.1,0.1,0.07,0.76
4,7,0.1,0.2,0.11,0.772
4,7,0.1,0.3,0.17,0.777
4,7,0.1,0.4,0.22,0.784
4,7,0.1,0.5,0.26,0.784
4,7,0.1,0.6,0.32,0.79
4,7,0.1,0.7,0.38,0.795
4,7,0.1,0.8,0.43,0.79
4,7,0.1,0.9,0.5,0.793
4,7,0.1,1.0,0.54,0.807
4,9,0.1,0.1,0.09,0.767
4,9,0.1,0.2,0.15,0.782
4,9,0.1,0.3,0.21,0.791
4,9,0.1,0.4,0.28,0.794
4,9,0.1,0.5,0.34,0.807
4,9,0.1,0.6,0.4,0.796
4,9,0.1,0.7,0.49,0.794
4,9,0.1,0.8,0.56,0.803
4,9,0.1,0.9,0.63,0.816
4,9,0.1,1.0,0.69,0.812
4,11,0.1,0.1,0.11,0.772
4,11,0.1,0.2,0.19,0.796
4,11,0.1,0.3,0.25,0.8
4,11,0.1,0.4,0.34,0.803
4,11,0.1,0.5,0.41,0.813
4,11,0.1,0.6,0.5,0.813
4,11,0.1,0.7,0.61,0.813
4,11,0.1,0.8,0.68,0.824
4,11,0.1,0.9,0.75,0.819
4,11,0.1,1.0,0.86,0.827
4,13,0.1,0.1,0.12,0.786
4,13,0.1,0.2,0.2,0.811
4,13,0.1,0.3,0.3,0.809
4,13,0.1,0.4,0.41,0.818
4,13,0.1,0.5,0.48,0.819
4,13,0.1,0.6,0.59,0.819
4,13,0.1,0.7,0.68,0.824
4,13,0.1,0.8,0.79,0.827
4,13,0.1,0.9,0.92,0.821
4,13,0.1,1.0,1.0,0.825
4,15,0.1,0.1,0.14,0.798
4,15,0.1,0.2,0.23,0.81
4,15,0.1,0.3,0.33,0.809
4,15,0.1,0.4,0.44,0.817
4,15,0.1,0.5,0.54,0.821
4,15,0.1,0.6,0.66,0.819
4,15,0.1,0.7,0.79,0.811
4,15,0.1,0.8,0.91,0.83
4,15,0.1,0.9,1.01,0.824
4,15,0.1,1.0,1.15,0.828
4,1,0.2,0.1,0.02,0.651
4,1,0.2,0.2,0.03,0.685
4,1,0.2,0.3,0.05,0.677
4,1,0.2,0.4,0.06,0.693
4,1,0.2,0.5,0.08,0.69
4,1,0.2,0.6,0.09,0.695
4,1,0.2,0.7,0.11,0.704
4,1,0.2,0.8,0.13,0.7
4,1,0.2,0.9,0.14,0.724
4,1,0.2,1.0,0.16,0.714
4,3,0.2,0.1,0.05,0.715
4,3,0.2,0.2,0.08,0.74
4,3,0.2,0.3,0.12,0.74
4,3,0.2,0.4,0.16,0.74
4,3,0.2,0.5,0.21,0.751
4,3,0.2,0.6,0.25,0.756
4,3,0.2,0.7,0.29,0.757
4,3,0.2,0.8,0.35,0.76
4,3,0.2,0.9,0.4,0.758
4,3,0.2,1.0,0.43,0.762
4,5,0.2,0.1,0.07,0.746
4,5,0.2,0.2,0.13,0.763
4,5,0.2,0.3,0.19,0.777
4,5,0.2,0.4,0.28,0.777
4,5,0.2,0.5,0.34,0.784
4,5,0.2,0.6,0.4,0.791
4,5,0.2,0.7,0.49,0.794
4,5,0.2,0.8,0.58,0.796
4,5,0.2,0.9,0.63,0.795
4,5,0.2,1.0,0.7,0.802
4,7,0.2,0.1,0.1,0.759
4,7,0.2,0.2,0.17,0.776
4,7,0.2,0.3,0.26,0.796
4,7,0.2,0.4,0.36,0.795
4,7,0.2,0.5,0.47,0.805
4,7,0.2,0.6,0.58,0.803
4,7,0.2,0.7,0.67,0.8
4,7,0.2,0.8,0.77,0.808
4,7,0.2,0.9,0.89,0.806
4,7,0.2,1.0,0.97,0.803
4,9,0.2,0.1,0.12,0.777
4,9,0.2,0.2,0.22,0.799
4,9,0.2,0.3,0.33,0.81
4,9,0.2,0.4,0.46,0.812
4,9,0.2,0.5,0.6,0.812
4,9,0.2,0.6,0.71,0.816
4,9,0.2,0.7,0.85,0.813
4,9,0.2,0.8,0.99,0.817
4,9,0.2,0.9,1.14,0.824
4,9,0.2,1.0,1.25,0.825
4,11,0.2,0.1,0.15,0.788
4,11,0.2,0.2,0.27,0.804
4,11,0.2,0.3,0.41,0.812
4,11,0.2,0.4,0.56,0.808
4,11,0.2,0.5,0.71,0.823
4,11,0.2,0.6,0.86,0.826
4,11,0.2,0.7,1.05,0.825
4,11,0.2,0.8,1.22,0.826
4,11,0.2,0.9,1.36,0.829
4,11,0.2,1.0,1.53,0.83
4,13,0.2,0.1,0.17,0.782
4,13,0.2,0.2,0.32,0.809
4,13,0.2,0.3,0.48,0.821
4,13,0.2,0.4,0.67,0.825
4,13,0.2,0.5,0.86,0.824
4,13,0.2,0.6,1.04,0.819
4,13,0.2,0.7,1.25,0.818
4,13,0.2,0.8,1.42,0.823
4,13,0.2,0.9,1.66,0.821
4,13,0.2,1.0,1.81,0.824
4,15,0.2,0.1,0.18,0.795
4,15,0.2,0.2,0.37,0.815
4,15,0.2,0.3,0.55,0.819
4,15,0.2,0.4,0.75,0.822
4,15,0.2,0.5,0.96,0.829
4,15,0.2,0.6,1.22,0.823
4,15,0.2,0.7,1.46,0.836
4,15,0.2,0.8,1.62,0.828
4,15,0.2,0.9,1.83,0.833
4,15,0.2,1.0,2.1,0.835
4,1,0.3,0.1,0.03,0.647
4,1,0.3,0.2,0.04,0.681
4,1,0.3,0.3,0.06,0.69
4,1,0.3,0.4,0.08,0.7
4,1,0.3,0.5,0.11,0.703
4,1,0.3,0.6,0.12,0.715
4,1,0.3,0.7,0.18,0.711
4,1,0.3,0.8,0.17,0.71
4,1,0.3,0.9,0.21,0.727
4,1,0.3,1.0,0.23,0.716
4,3,0.3,0.1,0.06,0.731
4,3,0.3,0.2,0.1,0.733
4,3,0.3,0.3,0.16,0.753
4,3,0.3,0.4,0.23,0.759
4,3,0.3,0.5,0.3,0.762
4,3,0.3,0.6,0.36,0.754
4,3,0.3,0.7,0.43,0.766
4,3,0.3,0.8,0.5,0.783
4,3,0.3,0.9,0.57,0.769
4,3,0.3,1.0,0.63,0.773
4,5,0.3,0.1,0.09,0.749
4,5,0.3,0.2,0.18,0.761
4,5,0.3,0.3,0.27,0.778
4,5,0.3,0.4,0.38,0.779
4,5,0.3,0.5,0.48,0.784
4,5,0.3,0.6,0.6,0.797
4,5,0.3,0.7,0.74,0.798
4,5,0.3,0.8,0.82,0.795
4,5,0.3,0.9,0.93,0.801
4,5,0.3,1.0,1.05,0.804
4,7,0.3,0.1,0.13,0.778
4,7,0.3,0.2,0.24,0.78
4,7,0.3,0.3,0.37,0.796
4,7,0.3,0.4,0.53,0.803
4,7,0.3,0.5,0.66,0.801
4,7,0.3,0.6,0.8,0.811
4,7,0.3,0.7,0.96,0.814
4,7,0.3,0.8,1.16,0.81
4,7,0.3,0.9,1.39,0.81
4,7,0.3,1.0,1.46,0.816
4,9,0.3,0.1,0.15,0.781
4,9,0.3,0.2,0.3,0.799
4,9,0.3,0.3,0.47,0.804
4,9,0.3,0.4,0.66,0.808
4,9,0.3,0.5,0.89,0.798
4,9,0.3,0.6,1.05,0.823
4,9,0.3,0.7,1.26,0.814
4,9,0.3,0.8,1.43,0.83
4,9,0.3,0.9,1.64,0.815
4,9,0.3,1.0,1.87,0.825
4,11,0.3,0.1,0.18,0.797
4,11,0.3,0.2,0.37,0.813
4,11,0.3,0.3,0.57,0.809
4,11,0.3,0.4,0.82,0.816
4,11,0.3,0.5,1.06,0.813
4,11,0.3,0.6,1.3,0.82
4,11,0.3,0.7,1.57,0.827
4,11,0.3,0.8,1.84,0.826
4,11,0.3,0.9,2.02,0.821
4,11,0.3,1.0,2.3,0.826
4,13,0.3,0.1,0.21,0.801
4,13,0.3,0.2,0.43,0.811
4,13,0.3,0.3,0.64,0.818
4,13,0.3,0.4,0.93,0.82
4,13,0.3,0.5,1.24,0.825
4,13,0.3,0.6,1.54,0.827
4,13,0.3,0.7,1.79,0.827
4,13,0.3,0.8,2.13,0.831
4,13,0.3,0.9,2.38,0.836
4,13,0.3,1.0,2.67,0.829
4,15,0.3,0.1,0.25,0.802
4,15,0.3,0.2,0.5,0.815
4,15,0.3,0.3,0.79,0.814
4,15,0.3,0.4,1.09,0.826
4,15,0.3,0.5,1.41,0.825
4,15,0.3,0.6,1.75,0.827
4,15,0.3,0.7,2.1,0.835
4,15,0.3,0.8,2.43,0.842
4,15,0.3,0.9,2.78,0.833
4,15,0.3,1.0,3.09,0.828
4,1,0.4,0.1,0.03,0.664
4,1,0.4,0.2,0.06,0.677
4,1,0.4,0.3,0.08,0.708
4,1,0.4,0.4,0.1,0.711
4,1,0.4,0.5,0.14,0.724
4,1,0.4,0.6,0.16,0.718
4,1,0.4,0.7,0.19,0.711
4,1,0.4,0.8,0.24,0.719
4,1,0.4,0.9,0.27,0.716
4,1,0.4,1.0,0.3,0.727
4,3,0.4,0.1,0.06,0.733
4,3,0.4,0.2,0.13,0.739
4,3,0.4,0.3,0.21,0.747
4,3,0.4,0.4,0.28,0.76
4,3,0.4,0.5,0.37,0.76
4,3,0.4,0.6,0.47,0.771
4,3,0.4,0.7,0.56,0.773
4,3,0.4,0.8,0.65,0.779
4,3,0.4,0.9,0.74,0.771
4,3,0.4,1.0,0.84,0.769
4,5,0.4,0.1,0.11,0.753
4,5,0.4,0.2,0.23,0.769
4,5,0.4,0.3,0.41,0.773
4,5,0.4,0.4,0.49,0.782
4,5,0.4,0.5,0.62,0.793
4,5,0.4,0.6,0.79,0.79
4,5,0.4,0.7,1.0,0.799
4,5,0.4,0.8,1.09,0.808
4,5,0.4,0.9,1.26,0.808
4,5,0.4,1.0,1.38,0.803
4,7,0.4,0.1,0.14,0.785
4,7,0.4,0.2,0.31,0.785
4,7,0.4,0.3,0.47,0.801
4,7,0.4,0.4,0.68,0.801
4,7,0.4,0.5,0.86,0.803
4,7,0.4,0.6,1.08,0.811
4,7,0.4,0.7,1.32,0.814
4,7,0.4,0.8,1.52,0.813
4,7,0.4,0.9,1.73,0.805
4,7,0.4,1.0,1.96,0.814
4,9,0.4,0.1,0.19,0.775
4,9,0.4,0.2,0.39,0.784
4,9,0.4,0.3,0.61,0.801
4,9,0.4,0.4,0.88,0.819
4,9,0.4,0.5,1.14,0.811
4,9,0.4,0.6,1.38,0.812
4,9,0.4,0.7,1.65,0.821
4,9,0.4,0.8,1.92,0.827
4,9,0.4,0.9,2.2,0.82
4,9,0.4,1.0,2.49,0.811
4,11,0.4,0.1,0.21,0.789
4,11,0.4,0.2,0.46,0.8
4,11,0.4,0.3,0.74,0.807
4,11,0.4,0.4,1.04,0.805
4,11,0.4,0.5,1.37,0.821
4,11,0.4,0.6,1.69,0.825
4,11,0.4,0.7,2.03,0.827
4,11,0.4,0.8,2.47,0.826
4,11,0.4,0.9,2.74,0.821
4,11,0.4,1.0,3.09,0.818
4,13,0.4,0.1,0.25,0.797
4,13,0.4,0.2,0.55,0.815
4,13,0.4,0.3,0.88,0.815
4,13,0.4,0.4,1.22,0.823
4,13,0.4,0.5,1.6,0.814
4,13,0.4,0.6,2.05,0.82
4,13,0.4,0.7,2.36,0.832
4,13,0.4,0.8,2.8,0.829
4,13,0.4,0.9,3.24,0.831
4,13,0.4,1.0,3.62,0.821
4,15,0.4,0.1,0.3,0.805
4,15,0.4,0.2,0.63,0.81
4,15,0.4,0.3,1.0,0.815
4,15,0.4,0.4,1.4,0.827
4,15,0.4,0.5,1.86,0.824
4,15,0.4,0.6,2.29,0.833
4,15,0.4,0.7,2.75,0.836
4,15,0.4,0.8,3.18,0.833
4,15,0.4,0.9,3.68,0.835
4,15,0.4,1.0,4.11,0.832
4,1,0.5,0.1,0.04,0.679
4,1,0.5,0.2,0.06,0.689
4,1,0.5,0.3,0.09,0.71
4,1,0.5,0.4,0.12,0.71
4,1,0.5,0.5,0.18,0.708
4,1,0.5,0.6,0.21,0.717
4,1,0.5,0.7,0.24,0.705
4,1,0.5,0.8,0.27,0.734
4,1,0.5,0.9,0.33,0.726
4,1,0.5,1.0,0.36,0.725
4,3,0.5,0.1,0.08,0.735
4,3,0.5,0.2,0.16,0.739
4,3,0.5,0.3,0.26,0.753
4,3,0.5,0.4,0.36,0.772
4,3,0.5,0.5,0.49,0.766
4,3,0.5,0.6,0.6,0.769
4,3,0.5,0.7,0.71,0.775
4,3,0.5,0.8,0.82,0.771
4,3,0.5,0.9,0.92,0.78
4,3,0.5,1.0,1.09,0.78
4,5,0.5,0.1,0.12,0.749
4,5,0.5,0.2,0.26,0.782
4,5,0.5,0.3,0.43,0.77
4,5,0.5,0.4,0.59,0.785
4,5,0.5,0.5,0.78,0.791
4,5,0.5,0.6,0.95,0.795
4,5,0.5,0.7,1.15,0.801
4,5,0.5,0.8,1.35,0.795
4,5,0.5,0.9,1.62,0.798
4,5,0.5,1.0,1.83,0.795
4,7,0.5,0.1,0.18,0.775
4,7,0.5,0.2,0.36,0.793
4,7,0.5,0.3,0.6,0.8
4,7,0.5,0.4,0.85,0.797
4,7,0.5,0.5,1.11,0.794
4,7,0.5,0.6,1.37,0.814
4,7,0.5,0.7,1.63,0.811
4,7,0.5,0.8,1.86,0.808
4,7,0.5,0.9,2.17,0.815
4,7,0.5,1.0,2.42,0.813
4,9,0.5,0.1,0.21,0.78
4,9,0.5,0.2,0.47,0.798
4,9,0.5,0.3,0.74,0.809
4,9,0.5,0.4,1.07,0.806
4,9,0.5,0.5,1.38,0.814
4,9,0.5,0.6,1.74,0.814
4,9,0.5,0.7,2.04,0.816
4,9,0.5,0.8,2.46,0.814
4,9,0.5,0.9,2.75,0.821
4,9,0.5,1.0,3.16,0.819
4,11,0.5,0.1,0.26,0.788
4,11,0.5,0.2,0.57,0.792
4,11,0.5,0.3,0.88,0.805
4,11,0.5,0.4,1.28,0.811
4,11,0.5,0.5,1.73,0.816
4,11,0.5,0.6,2.13,0.82
4,11,0.5,0.7,2.56,0.826
4,11,0.5,0.8,3.01,0.828
4,11,0.5,0.9,3.4,0.823
4,11,0.5,1.0,3.77,0.819
4,13,0.5,0.1,0.31,0.809
4,13,0.5,0.2,0.66,0.807
4,13,0.5,0.3,1.09,0.822
4,13,0.5,0.4,1.53,0.818
4,13,0.5,0.5,2.03,0.82
4,13,0.5,0.6,2.51,0.822
4,13,0.5,0.7,3.04,0.833
4,13,0.5,0.8,3.54,0.823
4,13,0.5,0.9,3.99,0.829
4,13,0.5,1.0,4.56,0.823
4,15,0.5,0.1,0.35,0.807
4,15,0.5,0.2,0.78,0.814
4,15,0.5,0.3,1.25,0.817
4,15,0.5,0.4,1.73,0.82
4,15,0.5,0.5,2.39,0.826
4,15,0.5,0.6,2.86,0.827
4,15,0.5,0.7,3.45,0.827
4,15,0.5,0.8,4.04,0.829
4,15,0.5,0.9,4.61,0.831
4,15,0.5,1.0,5.29,0.831
