dataset_id,n_trees,max_features,percent_data,time,score
18,1,0.1,0.1,0.01,0.379
18,1,0.1,0.2,0.02,0.378
18,1,0.1,0.3,0.02,0.369
18,1,0.1,0.4,0.02,0.411
18,1,0.1,0.5,0.03,0.379
18,1,0.1,0.6,0.03,0.376
18,1,0.1,0.7,0.03,0.397
18,1,0.1,0.8,0.04,0.384
18,1,0.1,0.9,0.04,0.389
18,1,0.1,1.0,0.04,0.398
18,3,0.1,0.1,0.03,0.371
18,3,0.1,0.2,0.03,0.377
18,3,0.1,0.3,0.04,0.412
18,3,0.1,0.4,0.05,0.397
18,3,0.1,0.5,0.06,0.427
18,3,0.1,0.6,0.06,0.401
18,3,0.1,0.7,0.07,0.411
18,3,0.1,0.8,0.08,0.413
18,3,0.1,0.9,0.08,0.434
18,3,0.1,1.0,0.1,0.437
18,5,0.1,0.1,0.04,0.425
18,5,0.1,0.2,0.05,0.448
18,5,0.1,0.3,0.06,0.444
18,5,0.1,0.4,0.07,0.452
18,5,0.1,0.5,0.09,0.454
18,5,0.1,0.6,0.1,0.45
18,5,0.1,0.7,0.11,0.454
18,5,0.1,0.8,0.12,0.468
18,5,0.1,0.9,0.14,0.46
18,5,0.1,1.0,0.14,0.472
18,7,0.1,0.1,0.05,0.438
18,7,0.1,0.2,0.07,0.43
18,7,0.1,0.3,0.08,0.444
18,7,0.1,0.4,0.1,0.46
18,7,0.1,0.5,0.12,0.448
18,7,0.1,0.6,0.14,0.465
18,7,0.1,0.7,0.15,0.496
18,7,0.1,0.8,0.17,0.474
18,7,0.1,0.9,0.2,0.465
18,7,0.1,1.0,0.22,0.483
18,9,0.1,0.1,0.07,0.44
18,9,0.1,0.2,0.09,0.471
18,9,0.1,0.3,0.12,0.444
18,9,0.1,0.4,0.12,0.449
18,9,0.1,0.5,0.15,0.469
18,9,0.1,0.6,0.17,0.472
18,9,0.1,0.7,0.19,0.479
18,9,0.1,0.8,0.21,0.499
18,9,0.1,0.9,0.24,0.488
18,9,0.1,1.0,0.25,0.491
18,11,0.1,0.1,0.08,0.442
18,11,0.1,0.2,0.1,0.462
18,11,0.1,0.3,0.12,0.446
18,11,0.1,0.4,0.15,0.48
18,11,0.1,0.5,0.18,0.472
18,11,0.1,0.6,0.21,0.474
18,11,0.1,0.7,0.23,0.494
18,11,0.1,0.8,0.28,0.498
18,11,0.1,0.9,0.27,0.51
18,11,0.1,1.0,0.3,0.509
18,13,0.1,0.1,0.09,0.45
18,13,0.1,0.2,0.11,0.465
18,13,0.1,0.3,0.14,0.457
18,13,0.1,0.4,0.17,0.469
18,13,0.1,0.5,0.2,0.478
18,13,0.1,0.6,0.22,0.506
18,13,0.1,0.7,0.26,0.49
18,13,0.1,0.8,0.29,0.491
18,13,0.1,0.9,0.32,0.498
18,13,0.1,1.0,0.36,0.513
18,15,0.1,0.1,0.13,0.461
18,15,0.1,0.2,0.13,0.45
18,15,0.1,0.3,0.17,0.462
18,15,0.1,0.4,0.21,0.477
18,15,0.1,0.5,0.25,0.484
18,15,0.1,0.6,0.27,0.49
18,15,0.1,0.7,0.3,0.502
18,15,0.1,0.8,0.37,0.51
18,15,0.1,0.9,0.38,0.514
18,15,0.1,1.0,0.44,0.51
