dataset_id,n_trees,max_features,percent_data,time,score
3,1,0.1,0.1,0.01,0.345
3,1,0.1,0.2,0.01,0.375
3,1,0.1,0.3,0.01,0.436
3,1,0.1,0.4,0.01,0.386
3,1,0.1,0.5,0.02,0.397
3,1,0.1,0.6,0.02,0.408
3,1,0.1,0.7,0.02,0.396
3,1,0.1,0.8,0.02,0.419
3,1,0.1,0.9,0.02,0.401
3,1,0.1,1.0,0.02,0.426
3,3,0.1,0.1,0.02,0.379
3,3,0.1,0.2,0.02,0.428
3,3,0.1,0.3,0.03,0.448
3,3,0.1,0.4,0.03,0.467
3,3,0.1,0.5,0.03,0.429
3,3,0.1,0.6,0.03,0.454
3,3,0.1,0.7,0.03,0.459
3,3,0.1,0.8,0.04,0.46
3,3,0.1,0.9,0.04,0.486
3,3,0.1,1.0,0.04,0.49
3,5,0.1,0.1,0.03,0.406
3,5,0.1,0.2,0.03,0.428
3,5,0.1,0.3,0.04,0.478
3,5,0.1,0.4,0.04,0.497
3,5,0.1,0.5,0.04,0.495
3,5,0.1,0.6,0.05,0.489
3,5,0.1,0.7,0.05,0.472
3,5,0.1,0.8,0.06,0.499
3,5,0.1,0.9,0.06,0.523
3,5,0.1,1.0,0.06,0.504
3,7,0.1,0.1,0.04,0.421
3,7,0.1,0.2,0.04,0.472
3,7,0.1,0.3,0.05,0.515
3,7,0.1,0.4,0.05,0.488
3,7,0.1,0.5,0.06,0.508
3,7,0.1,0.6,0.06,0.509
3,7,0.1,0.7,0.07,0.511
3,7,0.1,0.8,0.07,0.522
3,7,0.1,0.9,0.07,0.526
3,7,0.1,1.0,0.08,0.529
3,9,0.1,0.1,0.05,0.445
3,9,0.1,0.2,0.06,0.501
3,9,0.1,0.3,0.06,0.491
3,9,0.1,0.4,0.07,0.513
3,9,0.1,0.5,0.07,0.5
3,9,0.1,0.6,0.07,0.526
3,9,0.1,0.7,0.08,0.522
3,9,0.1,0.8,0.09,0.532
3,9,0.1,0.9,0.09,0.539
3,9,0.1,1.0,0.1,0.544
3,11,0.1,0.1,0.06,0.44
3,11,0.1,0.2,0.07,0.485
3,11,0.1,0.3,0.13,0.512
3,11,0.1,0.4,0.14,0.504
3,11,0.1,0.5,0.09,0.519
3,11,0.1,0.6,0.12,0.525
3,11,0.1,0.7,0.1,0.532
3,11,0.1,0.8,0.11,0.533
3,11,0.1,0.9,0.12,0.53
3,11,0.1,1.0,0.12,0.568
3,13,0.1,0.1,0.06,0.448
3,13,0.1,0.2,0.07,0.463
3,13,0.1,0.3,0.08,0.515
3,13,0.1,0.4,0.1,0.503
3,13,0.1,0.5,0.11,0.546
3,13,0.1,0.6,0.1,0.525
3,13,0.1,0.7,0.12,0.544
3,13,0.1,0.8,0.13,0.526
3,13,0.1,0.9,0.15,0.553
3,13,0.1,1.0,0.14,0.549
3,15,0.1,0.1,0.07,0.448
3,15,0.1,0.2,0.08,0.509
3,15,0.1,0.3,0.1,0.509
3,15,0.1,0.4,0.1,0.536
3,15,0.1,0.5,0.11,0.529
3,15,0.1,0.6,0.12,0.531
3,15,0.1,0.7,0.13,0.53
3,15,0.1,0.8,0.14,0.554
3,15,0.1,0.9,0.14,0.54
3,15,0.1,1.0,0.16,0.567
3,1,0.2,0.1,0.01,0.324
3,1,0.2,0.2,0.01,0.382
3,1,0.2,0.3,0.01,0.391
3,1,0.2,0.4,0.01,0.389
3,1,0.2,0.5,0.01,0.383
3,1,0.2,0.6,0.02,0.412
3,1,0.2,0.7,0.02,0.392
3,1,0.2,0.8,0.02,0.423
3,1,0.2,0.9,0.02,0.435
3,1,0.2,1.0,0.02,0.44
3,3,0.2,0.1,0.02,0.36
3,3,0.2,0.2,0.02,0.415
3,3,0.2,0.3,0.02,0.439
3,3,0.2,0.4,0.02,0.455
3,3,0.2,0.5,0.03,0.456
3,3,0.2,0.6,0.03,0.452
3,3,0.2,0.7,0.03,0.462
3,3,0.2,0.8,0.04,0.46
3,3,0.2,0.9,0.04,0.468
