dataset_id,n_trees,max_features,percent_data,time,score
9,1,0.1,0.1,0.04,0.503
9,1,0.1,0.2,0.07,0.527
9,1,0.1,0.3,0.1,0.504
9,1,0.1,0.4,0.14,0.518
9,1,0.1,0.5,0.2,0.557
9,1,0.1,0.6,0.23,0.546
9,1,0.1,0.7,0.26,0.555
9,1,0.1,0.8,0.31,0.55
9,1,0.1,0.9,0.36,0.553
9,1,0.1,1.0,0.39,0.563
9,3,0.1,0.1,0.08,0.493
9,3,0.1,0.2,0.17,0.509
9,3,0.1,0.3,0.28,0.527
9,3,0.1,0.4,0.37,0.545
9,3,0.1,0.5,0.48,0.534
9,3,0.1,0.6,0.59,0.555
9,3,0.1,0.7,0.69,0.559
9,3,0.1,0.8,0.85,0.582
9,3,0.1,0.9,1.0,0.587
9,3,0.1,1.0,1.07,0.608
9,5,0.1,0.1,0.14,0.497
9,5,0.1,0.2,0.27,0.508
9,5,0.1,0.3,0.45,0.519
9,5,0.1,0.4,0.62,0.518
