dataset_id,n_trees,max_features,percent_data,time,score
17,1,0.1,0.1,0.1,0.542
17,1,0.1,0.2,0.18,0.56
17,1,0.1,0.3,0.3,0.57
17,1,0.1,0.4,0.42,0.582
17,1,0.1,0.5,0.53,0.597
17,1,0.1,0.6,0.67,0.595
17,1,0.1,0.7,0.8,0.598
17,1,0.1,0.8,0.89,0.606
17,1,0.1,0.9,1.09,0.625
17,1,0.1,1.0,1.23,0.626
17,3,0.1,0.1,0.2,0.556
17,3,0.1,0.2,0.42,0.58
17,3,0.1,0.3,0.64,0.597
17,3,0.1,0.4,0.87,0.604
17,3,0.1,0.5,1.23,0.622
17,3,0.1,0.6,1.44,0.626
17,3,0.1,0.7,1.82,0.641
17,3,0.1,0.8,2.06,0.637
17,3,0.1,0.9,2.5,0.644
17,3,0.1,1.0,2.89,0.661
17,5,0.1,0.1,0.32,0.552
17,5,0.1,0.2,0.61,0.589
17,5,0.1,0.3,1.07,0.612
17,5,0.1,0.4,1.45,0.62
17,5,0.1,0.5,1.78,0.633
17,5,0.1,0.6,2.23,0.64
17,5,0.1,0.7,2.82,0.651
17,5,0.1,0.8,3.34,0.662
17,5,0.1,0.9,4.17,0.669
17,5,0.1,1.0,4.56,0.679
17,7,0.1,0.1,0.38,0.566
17,7,0.1,0.2,0.81,0.586
17,7,0.1,0.3,1.27,0.624
17,7,0.1,0.4,1.81,0.628
17,7,0.1,0.5,2.4,0.641
17,7,0.1,0.6,3.2,0.654
17,7,0.1,0.7,4.39,0.665
17,7,0.1,0.8,4.83,0.677
17,7,0.1,0.9,5.6,0.691
17,7,0.1,1.0,6.43,0.695
17,9,0.1,0.1,0.49,0.571
17,9,0.1,0.2,1.12,0.591
17,9,0.1,0.3,1.73,0.622
17,9,0.1,0.4,2.39,0.645
17,9,0.1,0.5,3.14,0.651
17,9,0.1,0.6,4.01,0.653
17,9,0.1,0.7,5.2,0.672
17,9,0.1,0.8,6.05,0.679
17,9,0.1,0.9,7.91,0.69
17,9,0.1,1.0,12.19,0.701
17,11,0.1,0.1,0.61,0.573
17,11,0.1,0.2,1.28,0.604
17,11,0.1,0.3,2.1,0.631
17,11,0.1,0.4,3.02,0.656
17,11,0.1,0.5,4.05,0.661
17,11,0.1,0.6,5.01,0.67
17,11,0.1,0.7,7.84,0.679
