dataset_id,n_trees,max_features,percent_data,time,score
16,1,0.1,0.1,0.38,0.827
16,1,0.1,0.2,0.74,0.866
16,1,0.1,0.3,1.32,0.881
16,1,0.1,0.4,1.84,0.892
16,1,0.1,0.5,2.4,0.897
16,1,0.1,0.6,3.17,0.895
16,1,0.1,0.7,4.23,0.897
16,1,0.1,0.8,5.23,0.909
16,1,0.1,0.9,6.35,0.909
16,1,0.1,1.0,8.23,0.914
16,3,0.1,0.1,0.84,0.894
16,3,0.1,0.2,2.09,0.917
16,3,0.1,0.3,3.28,0.92
16,3,0.1,0.4,4.86,0.929
16,3,0.1,0.5,7.21,0.929
16,3,0.1,0.6,9.05,0.938
16,3,0.1,0.7,11.83,0.934
16,3,0.1,0.8,15.41,0.942
16,3,0.1,0.9,17.7,0.941
16,3,0.1,1.0,20.53,0.941
16,5,0.1,0.1,0.98,0.906
16,5,0.1,0.2,2.53,0.925
16,5,0.1,0.3,4.79,0.934
16,5,0.1,0.4,7.26,0.94
16,5,0.1,0.5,10.4,0.937
16,5,0.1,0.6,14.01,0.942
16,5,0.1,0.7,17.58,0.947
16,5,0.1,0.8,20.52,0.951
16,5,0.1,0.9,29.4,0.952
16,5,0.1,1.0,33.97,0.951
16,7,0.1,0.1,1.51,0.915
16,7,0.1,0.2,3.65,0.928
16,7,0.1,0.3,6.75,0.942
16,7,0.1,0.4,10.53,0.946
16,7,0.1,0.5,15.28,0.944
16,7,0.1,0.6,20.04,0.947
16,7,0.1,0.7,25.59,0.951
16,7,0.1,0.8,32.16,0.953
16,7,0.1,0.9,40.1,0.955
16,7,0.1,1.0,44.33,0.955
16,9,0.1,0.1,1.57,0.925
16,9,0.1,0.2,4.09,0.931
16,9,0.1,0.3,7.87,0.943
16,9,0.1,0.4,12.33,0.948
16,9,0.1,0.5,18.13,0.951
16,9,0.1,0.6,23.74,0.948
16,9,0.1,0.7,29.73,0.954
16,9,0.1,0.8,37.65,0.957
16,9,0.1,0.9,46.95,0.96
16,9,0.1,1.0,53.77,0.958
16,11,0.1,0.1,1.94,0.919
16,11,0.1,0.2,4.93,0.939
16,11,0.1,0.3,9.54,0.943
16,11,0.1,0.4,15.05,0.953
16,11,0.1,0.5,22.0,0.952
16,11,0.1,0.6,29.06,0.949
16,11,0.1,0.7,36.8,0.954
16,11,0.1,0.8,43.43,0.962
16,11,0.1,0.9,55.57,0.961
16,11,0.1,1.0,65.07,0.962
16,13,0.1,0.1,2.19,0.921
16,13,0.1,0.2,5.93,0.937
16,13,0.1,0.3,12.19,0.948
16,13,0.1,0.4,19.43,0.948
16,13,0.1,0.5,27.18,0.955
16,13,0.1,0.6,33.95,0.957
16,13,0.1,0.7,42.63,0.958
